,count,mean,std,min,25%,50%,75%,max
SRR24222830,98312806.0,0.1205985190779724,0.32450273850512346,0.0,0.0,0.0,0.0,1.0
SRR24222831,98312806.0,0.12125296220311318,0.325404263819099,0.0,0.0,0.0,0.0,1.0
SRR24222832,98312806.0,0.11930423713061349,0.3225342094824494,0.0,0.0,0.0,0.0,1.0
SRR24222833,98312806.0,0.12054938966954114,0.32436911751568953,0.0,0.0,0.0,0.0,1.0
SRR24222834,98312806.0,0.11923191725399437,0.3219261789289103,0.0,0.0,0.0,0.0,1.0
SRR24222835,98312806.0,0.12079272683967542,0.32476544911469796,0.0,0.0,0.0,0.0,1.0
SRR24222836,98312806.0,0.12205478348364912,0.32631081330670525,0.0,0.0,0.0,0.0,1.0
SRR24222837,98312806.0,0.12026431724469346,0.32387130698942496,0.0,0.0,0.0,0.0,1.0
SRR24222838,98312806.0,0.12148202015513626,0.32567522133559285,0.0,0.0,0.0,0.0,1.0
SRR24222839,98312806.0,0.1221910430468234,0.32632527804659417,0.0,0.0,0.0,0.0,1.0
SRR24222840,98312806.0,0.11431850770285205,0.3148947521300933,0.0,0.0,0.0,0.0,1.0
SRR24222841,98312806.0,0.11878443719732708,0.32174108681718544,0.0,0.0,0.0,0.0,1.0
SRR24222842,98312806.0,0.11862019786110062,0.3213427646221705,0.0,0.0,0.0,0.0,1.0
SRR24222843,98312806.0,0.12199629201916991,0.32638639843373296,0.0,0.0,0.0,0.0,1.0
SRR24222844,98312806.0,0.11936302926802841,0.32264959357371853,0.0,0.0,0.0,0.0,1.0
SRR24222845,98312806.0,0.11630029337175057,0.3180150327396926,0.0,0.0,0.0,0.0,1.0
SRR24222846,98312806.0,0.1166171241211445,0.3181199838222103,0.0,0.0,0.0,0.0,1.0
SRR24222847,98312806.0,0.11746053510058493,0.3195196745435411,0.0,0.0,0.0,0.0,1.0
SRR24222848,98312806.0,0.11804958257421724,0.32051111857224057,0.0,0.0,0.0,0.0,1.0
SRR24222849,98312806.0,0.11419993657794693,0.3149048909202453,0.0,0.0,0.0,0.0,1.0
SRR24222850,98312806.0,0.1220677066220651,0.3264229332942951,0.0,0.0,0.0,0.0,1.0
SRR24222851,98312806.0,0.11673227493883147,0.3183423352941313,0.0,0.0,0.0,0.0,1.0
SRR24222852,98312806.0,0.11855137539254039,0.32108778895087836,0.0,0.0,0.0,0.0,1.0
SRR24222853,98312806.0,0.11742663320991976,0.31935476111673317,0.0,0.0,0.0,0.0,1.0
SRR24222854,98312806.0,0.12292665657411914,0.3273087459981168,0.0,0.0,0.0,0.0,1.0
SRR24222855,98312806.0,0.11686660667583836,0.3188916523388739,0.0,0.0,0.0,0.0,1.0
SRR24222856,98312806.0,0.11748897605465558,0.3198826359704017,0.0,0.0,0.0,0.0,1.0
SRR24222857,98312806.0,0.12228160113749575,0.32669206826548197,0.0,0.0,0.0,0.0,1.0
SRR24222858,98312806.0,0.1203235732077467,0.32405251491761067,0.0,0.0,0.0,0.0,1.0
SRR24222859,98312806.0,0.11697071976564273,0.3189947731615761,0.0,0.0,0.0,0.0,1.0
SRR24222860,98312806.0,0.11874994443755373,0.32250302118341784,0.0,0.0,0.0,0.0,1.0
SRR24222861,98312806.0,0.11679248001526882,0.3187088858164833,0.0,0.0,0.0,0.0,1.0
SRR24222862,98312806.0,0.1177098616227066,0.3200172378770936,0.0,0.0,0.0,0.0,1.0
SRR24222863,98312806.0,0.11176754033447076,0.3110873841942449,0.0,0.0,0.0,0.0,1.0
SRR24222864,98312806.0,0.1204908694193918,0.32354340018256544,0.0,0.0,0.0,0.0,1.0
SRR24222865,98312806.0,0.11726643322539285,0.3191886571221489,0.0,0.0,0.0,0.0,1.0
SRR24222866,98312806.0,0.11786626525541341,0.3204606585931376,0.0,0.0,0.0,0.0,1.0
SRR24222867,98312806.0,0.11364717257688688,0.31391730833217313,0.0,0.0,0.0,0.0,1.0
SRR24222868,98312806.0,0.12137810693756418,0.32496337656539986,0.0,0.0,0.0,0.0,1.0
