,count,mean,std,min,25%,50%,75%,max
SRR24222836,18005057.0,0.4156851250179325,0.4911493837011489,0.0,0.0,0.0,1.0,1.0
SRR24222837,18005057.0,0.4132434587682783,0.48989106771248325,0.0,0.0,0.0,1.0,1.0
SRR24222838,18005057.0,0.4160935097289611,0.4913110292965281,0.0,0.0,0.0,1.0,1.0
SRR24222839,18005057.0,0.41031727697390796,0.48991647173914393,0.0,0.0,0.0,1.0,1.0
SRR24222840,18005057.0,0.3965038749946751,0.482569617014489,0.0,0.0,0.0,1.0,1.0
SRR24222841,18005057.0,0.40775811984377497,0.4880396791375961,0.0,0.0,0.0,1.0,1.0
SRR24222842,18005057.0,0.40694170920980693,0.4874447882177538,0.0,0.0,0.0,1.0,1.0
SRR24222843,18005057.0,0.41639840462598926,0.49153282273498944,0.0,0.0,0.0,1.0,1.0
SRR24222844,18005057.0,0.41218093227919245,0.48931024030072123,0.0,0.0,0.0,1.0,1.0
SRR24222845,18005057.0,0.39949788384452206,0.48477640191681226,0.0,0.0,0.0,1.0,1.0
SRR24222846,18005057.0,0.40421387391331226,0.485092674688388,0.0,0.0,0.0,1.0,1.0
SRR24222847,18005057.0,0.4021787240107043,0.4855420570923542,0.0,0.0,0.0,1.0,1.0
SRR24222848,18005057.0,0.4070246692359819,0.4870862898522088,0.0,0.0,0.0,1.0,1.0
SRR24222849,18005057.0,0.39616647422999,0.4827799858324804,0.0,0.0,0.0,1.0,1.0
SRR24222850,18005057.0,0.4178781572310491,0.4917314238019262,0.0,0.0,0.0,1.0,1.0
SRR24222851,18005057.0,0.4046788060709833,0.4853317856536668,0.0,0.0,0.0,1.0,1.0
SRR24222852,18005057.0,0.4094731019179778,0.4875923977497528,0.0,0.0,0.0,1.0,1.0
SRR24222853,18005057.0,0.4063000633655312,0.4860658308519937,0.0,0.0,0.0,1.0,1.0
SRR24222854,18005057.0,0.41854111486567364,0.49179322892063876,0.0,0.0,0.0,1.0,1.0
SRR24222855,18005057.0,0.40210913078475674,0.4857097067602659,0.0,0.0,0.0,1.0,1.0
SRR24222856,18005057.0,0.4048364901038636,0.48675893757792027,0.0,0.0,0.0,1.0,1.0
SRR24222857,18005057.0,0.41796845019707524,0.4917237270077413,0.0,0.0,0.0,1.0,1.0
SRR24222858,18005057.0,0.41356255911880757,0.49015387778608166,0.0,0.0,0.0,1.0,1.0
SRR24222859,18005057.0,0.4029713996462216,0.4858080244038959,0.0,0.0,0.0,1.0,1.0
SRR24222860,18005057.0,0.40685989108504345,0.4896132880923914,0.0,0.0,0.0,1.0,1.0
SRR24222861,18005057.0,0.40142299466199965,0.485381030536362,0.0,0.0,0.0,1.0,1.0
SRR24222862,18005057.0,0.4042919480899172,0.4865004696496629,0.0,0.0,0.0,1.0,1.0
SRR24222863,18005057.0,0.3892257314153462,0.4794923000867995,0.0,0.0,0.0,1.0,1.0
SRR24222864,18005057.0,0.41459050976622835,0.48884347103910136,0.0,0.0,0.0,1.0,1.0
SRR24222865,18005057.0,0.4065578825993164,0.48612681799257074,0.0,0.0,0.0,1.0,1.0
SRR24222866,18005057.0,0.40609854387020267,0.4872862788771834,0.0,0.0,0.0,1.0,1.0
SRR24222867,18005057.0,0.39061238961920536,0.4809589769368829,0.0,0.0,0.0,1.0,1.0
SRR24222868,18005057.0,0.4154237856619948,0.4898676722566783,0.0,0.0,0.0,1.0,1.0
