,count,mean,std,min,25%,50%,75%,max
SRR24222835.unitigs.fa.gz,18005057.0,0.4145984375389647,0.4908119187164026,0.0,0.0,0.0,1.0,1.0
SRR24222836.unitigs.fa.gz,18005057.0,0.4156851250179325,0.4911493837011489,0.0,0.0,0.0,1.0,1.0
SRR24222837.unitigs.fa.gz,18005057.0,0.4132434587682782,0.4898910677124833,0.0,0.0,0.0,1.0,1.0
SRR24222838.unitigs.fa.gz,18005057.0,0.41609350972896114,0.4913110292965281,0.0,0.0,0.0,1.0,1.0
SRR24222839.unitigs.fa.gz,18005057.0,0.41031727697390796,0.4899164717391439,0.0,0.0,0.0,1.0,1.0
SRR24222840.unitigs.fa.gz,18005057.0,0.39650387499467515,0.482569617014489,0.0,0.0,0.0,1.0,1.0
SRR24222841.unitigs.fa.gz,18005057.0,0.407758119843775,0.4880396791375962,0.0,0.0,0.0,1.0,1.0
SRR24222842.unitigs.fa.gz,18005057.0,0.406941709209807,0.4874447882177537,0.0,0.0,0.0,1.0,1.0
SRR24222843.unitigs.fa.gz,18005057.0,0.4163984046259892,0.4915328227349895,0.0,0.0,0.0,1.0,1.0
SRR24222844.unitigs.fa.gz,18005057.0,0.4121809322791925,0.4893102403007212,0.0,0.0,0.0,1.0,1.0
SRR24222845.unitigs.fa.gz,18005057.0,0.3994978838445221,0.48477640191681226,0.0,0.0,0.0,1.0,1.0
SRR24222846.unitigs.fa.gz,18005057.0,0.40421387391331226,0.485092674688388,0.0,0.0,0.0,1.0,1.0
SRR24222847.unitigs.fa.gz,18005057.0,0.4021787240107044,0.4855420570923542,0.0,0.0,0.0,1.0,1.0
SRR24222848.unitigs.fa.gz,18005057.0,0.4070246692359819,0.48708628985220886,0.0,0.0,0.0,1.0,1.0
SRR24222849.unitigs.fa.gz,18005057.0,0.39616647422998996,0.48277998583248033,0.0,0.0,0.0,1.0,1.0
SRR24222850.unitigs.fa.gz,18005057.0,0.417878157231049,0.4917314238019262,0.0,0.0,0.0,1.0,1.0
SRR24222851.unitigs.fa.gz,18005057.0,0.4046788060709833,0.4853317856536668,0.0,0.0,0.0,1.0,1.0
SRR24222852.unitigs.fa.gz,18005057.0,0.40947310191797776,0.48759239774975277,0.0,0.0,0.0,1.0,1.0
SRR24222853.unitigs.fa.gz,18005057.0,0.40630006336553115,0.4860658308519937,0.0,0.0,0.0,1.0,1.0
SRR24222854.unitigs.fa.gz,18005057.0,0.4185411148656736,0.49179322892063876,0.0,0.0,0.0,1.0,1.0
SRR24222855.unitigs.fa.gz,18005057.0,0.4021091307847567,0.4857097067602659,0.0,0.0,0.0,1.0,1.0
SRR24222856.unitigs.fa.gz,18005057.0,0.4048364901038636,0.48675893757792027,0.0,0.0,0.0,1.0,1.0
SRR24222857.unitigs.fa.gz,18005057.0,0.4179684501970751,0.4917237270077413,0.0,0.0,0.0,1.0,1.0
SRR24222858.unitigs.fa.gz,18005057.0,0.41356255911880757,0.4901538777860817,0.0,0.0,0.0,1.0,1.0
SRR24222859.unitigs.fa.gz,18005057.0,0.4029713996462217,0.485808024403896,0.0,0.0,0.0,1.0,1.0
SRR24222860.unitigs.fa.gz,18005057.0,0.4068598910850435,0.4896132880923914,0.0,0.0,0.0,1.0,1.0
SRR24222861.unitigs.fa.gz,18005057.0,0.4014229946619997,0.48538103053636195,0.0,0.0,0.0,1.0,1.0
SRR24222862.unitigs.fa.gz,18005057.0,0.4042919480899172,0.48650046964966287,0.0,0.0,0.0,1.0,1.0
